barometer1	barometer2	insideTemperature	ambientTemperature	light	gyroscope1	gyroscope2	gyroscope3	accelerometer1	accelerometer2	accelerometer3	timestamp
0	0	22.75	19.21875	0	0	0	0	0	0	0	1512052875436
22.78	999.17	22.75	19.21875	0	0	0	0	0	0	0	1512052875841
22.78	999.17	22.75	19.21875	0	0	0	0	0.0654296875	-0.0224609375	-0.973876953125	1512052876112
22.78	999.17	22.75	19.21875	0	0	0	0	0.0654296875	-0.0224609375	-0.973876953125	1512052876382
22.78	999.17	22.75	19.21875	0	5.9661865234375	-4.39453125	-5.14984130859375	0.0654296875	-0.0224609375	-0.973876953125	1512052876652
22.78	999.17	22.75	19.21875	0.8	5.9661865234375	-4.39453125	-5.14984130859375	0.0654296875	-0.0224609375	-0.973876953125	1512052876921
22.78	999.17	22.75	19.09375	0.8	5.9661865234375	-4.39453125	-5.14984130859375	0.0654296875	-0.0224609375	-0.973876953125	1512052877529
22.78	999.18	22.75	19.09375	0.8	5.9661865234375	-4.39453125	-5.14984130859375	0.0654296875	-0.0224609375	-0.973876953125	1512052877934
22.78	999.18	22.75	19.09375	0.8	5.9661865234375	-4.39453125	-5.14984130859375	0.125732421875	0.03076171875	-0.9677734375	1512052878205
22.78	999.18	22.75	19.09375	0.8	5.9661865234375	-4.39453125	-5.14984130859375	0.125732421875	0.03076171875	-0.9677734375	1512052878475
22.78	999.18	22.75	19.09375	0.8	5.9814453125	-5.39398193359375	-6.6070556640625	0.125732421875	0.03076171875	-0.9677734375	1512052878745
22.78	999.18	22.75	19.09375	0.96	5.9814453125	-5.39398193359375	-6.6070556640625	0.125732421875	0.03076171875	-0.9677734375	1512052879014
22.78	999.18	22.75	18.875	0.96	5.9814453125	-5.39398193359375	-6.6070556640625	0.125732421875	0.03076171875	-0.9677734375	1512052879621
22.79	999.2	22.75	18.875	0.96	5.9814453125	-5.39398193359375	-6.6070556640625	0.125732421875	0.03076171875	-0.9677734375	1512052880026
22.79	999.2	22.75	18.875	0.96	5.9814453125	-5.39398193359375	-6.6070556640625	0.09375	0.055419921875	-0.912109375	1512052880297
22.79	999.2	22.75	18.875	0.96	5.9814453125	-5.39398193359375	-6.6070556640625	0.09375	0.055419921875	-0.912109375	1512052880567
22.79	999.2	22.75	18.875	0.96	6.3629150390625	-6.37054443359375	-4.76837158203125	0.09375	0.055419921875	-0.912109375	1512052880837
